game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=tavarwa01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,ATL,@,PHI,W (+32),0,3:36,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,2,1.2,+6,.532,1.000,0.0,29.6,15.5,0.0,0.0,0.0,0.0,23.4,75,78,Edy Tavares
2,/play-index/pgl_cum_stats.cgi?player=tavarwa01&year=2017&date_game=2017-04-12&is_playoff_game=N,2017-04-12,CLE,,TOR,L (-15),0,24:00,3,4,.750,0,0,,0,1,.000,4,6,10,1,0,6,2,3,6,10.3,+4,.676,.750,17.4,27.3,22.2,9.1,0.0,20.0,31.1,12.7,105,96,Edy Tavares
