game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
17,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-26&is_playoff_game=N,2016-11-26,GSW,,MIN,W (+13),1,24:35,2,6,.333,0,0,,2,2,1.000,1,3,4,3,1,1,0,1,6,7.6,+14,.436,.333,5.4,14.3,10.1,14.3,2.1,3.6,0.0,12.6,128,107,Zaza Pachulia
18,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-28&is_playoff_game=N,2016-11-28,GSW,,ATL,W (+5),1,16:14,2,2,1.000,0,0,,0,0,,2,4,6,1,0,1,3,2,4,3.6,+2,1.000,1.000,13.4,24.6,19.3,9.5,0.0,5.2,60.0,13.5,88,97,Zaza Pachulia
19,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,GSW,,HOU,L (-5),1,8:23,0,1,.000,0,0,,2,2,1.000,3,0,3,1,0,1,1,2,2,3.0,-14,.532,.000,38.4,0.0,18.9,16.1,0.0,10.8,34.7,14.5,121,113,Zaza Pachulia
20,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-03&is_playoff_game=N,2016-12-03,GSW,,PHO,W (+29),1,14:43,3,5,.600,0,0,,1,3,.333,0,3,3,1,3,0,3,1,7,5.1,+17,.554,.600,0.0,21.3,13.2,8.3,9.8,0.0,32.2,27.6,73,90,Zaza Pachulia
21,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,GSW,,IND,W (+36),1,18:25,1,3,.333,0,0,,1,2,.500,3,2,5,5,3,1,1,2,3,9.0,+17,.387,.333,16.6,11.1,13.9,25.4,7.4,3.7,20.5,10.1,127,91,Zaza Pachulia
22,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,GSW,@,LAC,W (+17),1,21:40,2,4,.500,0,1,.000,0,0,,3,2,5,3,0,1,2,3,4,4.3,+17,.500,.500,15.8,8.7,11.9,17.7,0.0,3.4,33.3,11.9,102,110,Zaza Pachulia
23,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-08&is_playoff_game=N,2016-12-08,GSW,@,UTA,W (+7),1,22:05,1,3,.333,0,0,,0,2,.000,2,2,4,3,0,0,1,4,2,1.0,+11,.258,.333,10.1,8.7,9.3,17.7,0.0,0.0,20.5,10.0,89,109,Zaza Pachulia
24,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,GSW,,POR,W (+45),1,16:45,1,3,.333,0,0,,2,4,.500,4,3,7,0,1,1,1,4,4,4.3,+21,.420,.333,34.7,15.9,23.1,0.0,2.9,4.9,17.4,14.6,112,84,Zaza Pachulia
25,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,GSW,,UTA,W (+30),1,14:57,0,1,.000,0,0,,2,2,1.000,1,2,3,1,0,0,0,0,2,3.3,+13,.532,.000,7.5,12.6,10.2,8.0,0.0,0.0,0.0,5.6,150,85,Zaza Pachulia
26,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-22&is_playoff_game=N,2016-12-22,GSW,@,BRK,W (+16),1,26:28,6,9,.667,0,0,,3,4,.750,7,7,14,4,0,1,1,4,15,18.6,+18,.697,.667,25.4,27.0,26.2,20.1,0.0,3.6,8.5,17.5,152,97,Zaza Pachulia
27,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,GSW,@,DET,W (+6),1,18:56,2,2,1.000,0,0,,3,3,1.000,3,5,8,0,1,0,2,1,7,8.6,-6,1.054,1.000,21.7,30.2,26.3,0.0,2.4,0.0,37.6,12.3,144,107,Zaza Pachulia
28,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-25&is_playoff_game=N,2016-12-25,GSW,@,CLE,L (-1),1,12:51,2,3,.667,0,0,,0,0,,1,4,5,1,0,0,3,4,4,0.7,+2,.667,.667,12.0,27.2,21.7,12.6,0.0,0.0,50.0,20.6,73,105,Zaza Pachulia
29,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-28&is_playoff_game=N,2016-12-28,GSW,,TOR,W (+10),1,17:41,3,5,.600,0,0,,2,2,1.000,2,1,3,3,0,0,1,3,8,7.3,+8,.680,.600,15.5,4.4,8.5,21.5,0.0,0.0,14.5,17.1,143,122,Zaza Pachulia
30,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-12-30&is_playoff_game=N,2016-12-30,GSW,,DAL,W (+9),1,18:20,1,6,.167,0,0,,0,0,,1,4,5,0,1,0,0,1,2,0.7,+11,.167,.167,7.9,20.9,15.8,0.0,2.7,0.0,0.0,15.2,48,98,Zaza Pachulia
31,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,GSW,,DEN,W (+8),1,19:26,4,8,.500,0,0,,3,3,1.000,4,5,9,1,0,0,2,4,11,8.4,+17,.590,.500,22.5,26.3,24.4,6.2,0.0,0.0,17.7,23.8,118,114,Zaza Pachulia
32,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-04&is_playoff_game=N,2017-01-04,GSW,,POR,W (+8),1,18:49,5,7,.714,0,0,,3,3,1.000,1,2,3,1,1,3,1,1,13,13.8,+10,.781,.714,6.2,12.1,9.2,8.2,2.5,12.1,10.7,20.7,142,108,Zaza Pachulia
33,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,GSW,,MEM,L (-9),1,30:07,3,4,.750,0,0,,4,4,1.000,0,5,5,2,0,0,0,3,10,10.1,-9,.868,.750,0.0,17.3,9.7,9.9,0.0,0.0,0.0,8.7,185,123,Zaza Pachulia
34,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,GSW,@,SAC,W (+11),1,22:07,4,5,.800,0,0,,2,2,1.000,5,2,7,2,3,0,1,5,10,13.6,+15,.850,.800,25.2,12.8,19.7,12.0,6.4,0.0,14.5,13.0,164,97,Zaza Pachulia
35,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,GSW,,MIA,W (+12),1,23:41,3,5,.600,0,0,,2,2,1.000,1,5,6,3,1,0,2,3,8,7.8,+7,.680,.600,4.5,20.7,12.9,18.5,2.0,0.0,25.4,15.0,114,94,Zaza Pachulia
36,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-12&is_playoff_game=N,2017-01-12,GSW,,DET,W (+20),1,24:29,3,6,.500,0,0,,1,2,.500,0,5,5,1,2,1,2,2,7,5.7,+15,.509,.500,0.0,24.5,12.7,4.4,3.7,3.3,22.5,15.1,79,96,Zaza Pachulia
37,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,GSW,,CLE,W (+35),1,20:35,2,7,.286,0,0,,0,0,,3,10,13,1,1,0,1,3,4,4.5,+24,.286,.286,17.9,43.2,32.6,5.6,2.2,0.0,12.5,15.9,84,83,Zaza Pachulia
38,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-18&is_playoff_game=N,2017-01-18,GSW,,OKC,W (+21),1,18:56,1,5,.200,0,0,,3,5,.600,3,3,6,2,1,0,1,3,5,4.3,+8,.347,.200,22.4,15.8,18.6,11.7,2.5,0.0,12.2,18.1,100,100,Zaza Pachulia
39,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-20&is_playoff_game=N,2017-01-20,GSW,@,HOU,W (+17),1,20:26,3,5,.600,0,0,,4,6,.667,2,7,9,2,2,0,1,4,10,11.2,+20,.654,.600,13.1,35.7,25.8,11.8,4.6,0.0,11.6,18.1,136,95,Zaza Pachulia
40,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-22&is_playoff_game=N,2017-01-22,GSW,@,ORL,W (+20),1,20:03,7,8,.875,0,0,,0,2,.000,2,3,5,1,2,0,1,2,14,13.6,+5,.788,.875,11.4,14.1,12.9,9.5,4.8,0.0,10.1,20.5,137,92,Zaza Pachulia
41,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2017-01-23&is_playoff_game=N,2017-01-23,GSW,@,MIA,L (-3),1,26:58,2,6,.333,0,0,,2,4,.500,4,6,10,2,2,0,1,3,6,7.6,-6,.387,.333,17.4,22.7,20.2,9.5,3.6,0.0,11.4,14.1,99,100,Zaza Pachulia
