game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
57,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-04&is_playoff_game=N,2017-03-04,CLE,@,MIA,L (-28),1,27:07,3,7,.429,1,2,.500,2,2,1.000,0,0,0,2,1,0,1,0,9,6.7,-28,.571,.500,0.0,0.0,0.0,11.9,2.0,0.0,11.3,16.4,111,141,Iman Shumpert
58,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-06&is_playoff_game=N,2017-03-06,CLE,,MIA,L (-8),1,26:21,3,9,.333,1,2,.500,1,2,.500,0,3,3,1,0,0,0,1,8,3.7,-5,.405,.389,0.0,11.2,6.1,6.2,0.0,0.0,0.0,16.7,95,117,Iman Shumpert
59,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-09&is_playoff_game=N,2017-03-09,CLE,@,DET,L (-5),1,35:23,3,8,.375,2,5,.400,0,0,,0,1,1,1,0,0,2,1,8,2.2,+6,.500,.500,0.0,3.0,1.6,3.9,0.0,0.0,20.0,13.4,79,123,Iman Shumpert
60,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-11&is_playoff_game=N,2017-03-11,CLE,@,ORL,W (+12),1,30:36,5,7,.714,3,4,.750,2,2,1.000,1,3,4,2,0,0,1,3,15,12.9,+8,.952,.929,3.3,8.3,6.0,8.9,0.0,0.0,11.3,13.1,163,112,Iman Shumpert
61,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-12&is_playoff_game=N,2017-03-12,CLE,@,HOU,L (-5),1,29:44,2,9,.222,1,6,.167,2,2,1.000,0,5,5,2,0,2,1,2,7,4.0,-7,.354,.278,0.0,14.9,9.0,8.3,0.0,6.3,9.2,17.4,77,124,Iman Shumpert
62,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-14&is_playoff_game=N,2017-03-14,CLE,,DET,W (+32),1,35:55,8,13,.615,2,3,.667,0,0,,0,5,5,0,0,0,0,1,18,13.2,+17,.692,.692,0.0,12.4,7.8,0.0,0.0,0.0,0.0,18.1,126,106,Iman Shumpert
63,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-16&is_playoff_game=N,2017-03-16,CLE,,UTA,W (+8),1,22:08,4,11,.364,1,6,.167,0,0,,0,3,3,0,0,0,0,1,9,3.4,+1,.409,.409,0.0,12.8,6.6,0.0,0.0,0.0,0.0,22.9,87,93,Iman Shumpert
64,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-18&is_playoff_game=N,2017-03-18,CLE,@,LAC,L (-30),1,25:19,5,11,.455,0,2,.000,0,0,,0,5,5,3,0,0,0,4,10,6.3,-8,.455,.455,0.0,22.0,10.1,25.3,0.0,0.0,0.0,20.7,96,113,Iman Shumpert
65,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-19&is_playoff_game=N,2017-03-19,CLE,@,LAL,W (+5),1,27:45,3,8,.375,0,2,.000,0,0,,0,1,1,2,1,0,0,1,6,3.9,+10,.375,.375,0.0,3.9,2.1,8.7,1.8,0.0,0.0,12.9,95,129,Iman Shumpert
66,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-22&is_playoff_game=N,2017-03-22,CLE,@,DEN,L (-13),0,17:17,2,2,1.000,1,1,1.000,0,0,,0,3,3,2,0,1,2,0,5,5.4,-1,1.250,1.250,0.0,20.3,10.2,14.8,0.0,4.0,50.0,11.0,119,132,Iman Shumpert
67,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-24&is_playoff_game=N,2017-03-24,CLE,@,CHO,W (+7),0,25:03,3,8,.375,1,5,.200,0,0,,0,2,2,1,1,2,1,4,7,3.7,+14,.438,.438,0.0,7.8,4.8,5.4,2.1,7.4,11.1,17.9,78,111,Iman Shumpert
68,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-30&is_playoff_game=N,2017-03-30,CLE,@,CHI,L (-6),0,22:20,2,8,.250,0,2,.000,0,0,,1,1,2,1,2,1,1,4,4,1.0,-2,.250,.250,4.8,4.3,4.5,6.6,4.6,3.3,11.1,18.4,58,101,Iman Shumpert
69,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-03-31&is_playoff_game=N,2017-03-31,CLE,,PHI,W (+17),0,26:12,1,5,.200,0,2,.000,0,0,,1,3,4,3,0,1,0,2,2,2.5,0,.200,.200,3.8,12.8,8.1,11.4,0.0,3.7,0.0,8.3,91,110,Iman Shumpert
70,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-02&is_playoff_game=N,2017-04-02,CLE,,IND,W (+5),0,23:29,0,1,.000,0,1,.000,2,2,1.000,0,2,2,1,1,1,2,2,2,1.5,+11,.532,.000,0.0,9.3,4.8,5.3,2.3,3.9,51.5,7.8,67,119,Iman Shumpert
71,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-04&is_playoff_game=N,2017-04-04,CLE,,ORL,W (+20),0,19:00,2,2,1.000,1,1,1.000,2,2,1.000,0,0,0,1,1,0,2,2,7,5.3,-3,1.215,1.250,0.0,0.0,0.0,6.5,2.6,0.0,41.0,11.9,128,110,Iman Shumpert
72,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-05&is_playoff_game=N,2017-04-05,CLE,@,BOS,W (+23),0,27:32,2,6,.333,1,3,.333,0,0,,1,3,4,1,0,0,2,4,5,0.3,+6,.417,.417,4.1,11.4,7.8,4.4,0.0,0.0,25.0,12.7,78,102,Iman Shumpert
73,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-07&is_playoff_game=N,2017-04-07,CLE,,ATL,L (-14),0,6:18,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,2,1,0,-2.4,-12,.000,.000,19.5,0.0,9.5,0.0,0.0,0.0,66.7,22.5,27,124,Iman Shumpert
74,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-09&is_playoff_game=N,2017-04-09,CLE,@,ATL,L (-1),0,17:46,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,-0.5,-22,.333,.333,0.0,11.9,6.1,0.0,0.0,0.0,25.0,9.9,51,120,Iman Shumpert
75,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-10&is_playoff_game=N,2017-04-10,CLE,@,MIA,L (-3),1,39:26,5,9,.556,0,1,.000,1,2,.500,1,2,3,1,1,1,1,2,11,8.2,+4,.557,.556,3.1,5.5,4.3,3.6,1.2,2.2,9.2,12.2,109,113,Iman Shumpert
76,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-12&is_playoff_game=N,2017-04-12,CLE,,TOR,L (-15),1,29:52,3,8,.375,0,3,.000,5,6,.833,1,2,3,3,2,0,4,1,11,7.2,-8,.517,.375,3.5,7.3,5.4,20.8,3.6,0.0,27.3,23.2,87,110,Iman Shumpert
1,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-17&is_playoff_game=Y,2017-04-17,CLE,,IND,W (+6),0,19:35,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,0,3,5,3.5,+2,.833,.833,0.0,0.0,0.0,0.0,2.6,0.0,0.0,7.1,166,118,Iman Shumpert
2,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-20&is_playoff_game=Y,2017-04-20,CLE,@,IND,W (+5),0,13:56,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,4,0,-0.3,-3,,,0.0,14.1,7.5,0.0,0.0,6.4,,0.0,,121,Iman Shumpert
3,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-04-23&is_playoff_game=Y,2017-04-23,CLE,@,IND,W (+4),0,16:39,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,0,1,3,1.5,+5,.375,.375,0.0,6.9,3.2,0.0,3.0,0.0,0.0,10.0,91,107,Iman Shumpert
4,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-01&is_playoff_game=Y,2017-05-01,CLE,,TOR,W (+11),0,17:32,2,5,.400,1,2,.500,0,0,,0,4,4,3,0,0,1,1,5,4.2,-16,.500,.500,0.0,23.3,12.3,24.5,0.0,0.0,16.7,15.0,100,108,Iman Shumpert
5,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-03&is_playoff_game=Y,2017-05-03,CLE,,TOR,W (+22),0,27:20,6,8,.750,1,2,.500,1,1,1.000,0,6,6,1,0,0,1,3,14,11.1,+12,.829,.813,0.0,25.1,13.7,5.8,0.0,0.0,10.6,15.6,140,107,Iman Shumpert
6,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-05&is_playoff_game=Y,2017-05-05,CLE,@,TOR,W (+21),0,25:59,1,5,.200,0,0,,2,2,1.000,2,2,4,2,1,0,0,4,4,3.7,+27,.340,.200,11.5,8.8,10.0,9.9,1.9,0.0,0.0,10.4,114,99,Iman Shumpert
7,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-07&is_playoff_game=Y,2017-05-07,CLE,@,TOR,W (+7),0,11:47,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,1,0,1,0,0.5,-6,.000,.000,0.0,30.6,16.5,0.0,0.0,7.3,0.0,4.1,0,107,Iman Shumpert
8,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-17&is_playoff_game=Y,2017-05-17,CLE,@,BOS,W (+13),0,24:59,1,6,.167,1,2,.500,0,0,,2,3,5,1,1,0,0,1,3,2.8,-2,.250,.250,9.9,12.8,11.4,5.2,2.1,0.0,0.0,11.0,92,113,Iman Shumpert
9,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-19&is_playoff_game=Y,2017-05-19,CLE,@,BOS,W (+44),0,12:18,2,2,1.000,2,2,1.000,1,2,.500,1,4,5,3,2,0,1,2,7,10.2,+20,1.215,1.500,10.3,33.9,23.2,29.1,8.0,0.0,25.8,14.1,180,70,Iman Shumpert
10,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-21&is_playoff_game=Y,2017-05-21,CLE,,BOS,L (-3),0,15:36,2,4,.500,0,2,.000,2,2,1.000,0,4,4,2,0,0,0,1,6,6.2,-10,.615,.500,0.0,26.8,14.7,23.8,0.0,0.0,0.0,14.9,150,123,Iman Shumpert
11,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-23&is_playoff_game=Y,2017-05-23,CLE,,BOS,W (+13),0,10:27,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,5,3.0,-3,1.250,1.250,0.0,0.0,0.0,0.0,0.0,0.0,33.3,14.4,134,117,Iman Shumpert
12,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-05-25&is_playoff_game=Y,2017-05-25,CLE,@,BOS,W (+33),0,12:29,2,3,.667,0,0,,0,0,,0,3,3,0,1,1,0,0,4,5.3,+6,.667,.667,0.0,26.2,15.0,0.0,3.9,6.9,0.0,10.8,131,94,Iman Shumpert
13,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-06-01&is_playoff_game=Y,2017-06-01,CLE,@,GSW,L (-22),0,16:46,2,6,.333,1,3,.333,0,0,,0,5,5,0,0,0,0,1,5,2.7,-7,.417,.417,0.0,24.7,13.1,0.0,0.0,0.0,0.0,14.7,93,111,Iman Shumpert
14,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-06-04&is_playoff_game=Y,2017-06-04,CLE,@,GSW,L (-19),0,21:41,1,6,.167,0,2,.000,4,4,1.000,1,3,4,0,3,0,0,1,6,6.4,-5,.387,.167,4.2,16.2,9.4,0.0,6.2,0.0,0.0,14.6,93,116,Iman Shumpert
15,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-06-07&is_playoff_game=Y,2017-06-07,CLE,,GSW,L (-5),0,11:53,0,3,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,2,2,-0.2,0,.258,.000,0.0,0.0,0.0,10.1,0.0,0.0,0.0,13.9,74,127,Iman Shumpert
16,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-06-09&is_playoff_game=Y,2017-06-09,CLE,,GSW,W (+21),0,12:11,1,1,1.000,1,1,1.000,2,4,.500,0,1,1,3,0,0,1,3,5,4.1,+12,.906,1.500,0.0,8.6,4.9,28.1,0.0,0.0,26.6,13.3,149,125,Iman Shumpert
17,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2017-06-12&is_playoff_game=Y,2017-06-12,CLE,@,GSW,L (-9),0,3:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-9,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.8,0,137,Iman Shumpert
