game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
34,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-12-30&is_playoff_game=N,2016-12-30,GSW,,DAL,W (+9),1,35:26,7,14,.500,2,7,.286,3,4,.750,0,11,11,10,0,0,4,0,19,17.9,+9,.603,.571,0.0,29.8,18.0,41.7,0.0,0.0,20.2,25.8,110,101,Kevin Durant
35,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,GSW,,DEN,W (+8),1,34:27,10,19,.526,1,4,.250,0,0,,0,3,3,2,1,1,2,2,21,12.9,-4,.553,.553,0.0,8.9,4.6,7.7,1.4,2.1,9.5,25.0,102,117,Kevin Durant
36,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-04&is_playoff_game=N,2017-01-04,GSW,,POR,W (+8),1,37:31,9,16,.563,3,8,.375,9,9,1.000,0,5,5,4,2,3,2,3,30,27.6,+22,.752,.656,0.0,15.2,7.7,15.8,2.5,6.1,9.1,24.5,141,111,Kevin Durant
37,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,GSW,,MEM,L (-9),1,42:32,7,17,.412,0,5,.000,13,18,.722,2,11,13,4,0,3,4,1,27,21.1,+6,.542,.412,6.2,26.9,17.8,15.4,0.0,5.3,13.8,31.0,106,116,Kevin Durant
38,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,GSW,@,SAC,W (+11),1,36:27,9,15,.600,2,4,.500,8,9,.889,0,7,7,6,1,4,1,1,28,29.4,+6,.738,.667,0.0,27.1,12.0,23.8,1.3,11.5,5.0,22.9,153,98,Kevin Durant
39,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,GSW,,MIA,W (+12),1,36:35,10,21,.476,3,6,.500,5,5,1.000,1,7,8,0,1,2,2,2,28,19.7,+5,.603,.548,2.9,18.7,11.2,0.0,1.3,4.4,7.9,31.0,106,92,Kevin Durant
40,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-12&is_playoff_game=N,2017-01-12,GSW,,DET,W (+20),1,31:23,10,15,.667,3,5,.600,2,2,1.000,0,6,6,9,1,0,3,0,25,24.6,+24,.787,.767,0.0,22.9,11.9,39.7,1.4,0.0,15.9,25.1,138,104,Kevin Durant
41,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,GSW,,CLE,W (+35),1,28:40,9,16,.563,3,7,.429,0,0,,1,5,6,5,2,3,1,0,21,22.2,+21,.656,.656,4.3,15.5,10.8,27.1,3.2,9.3,5.9,24.2,132,81,Kevin Durant
42,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-18&is_playoff_game=N,2017-01-18,GSW,,OKC,W (+21),1,33:49,13,16,.813,5,7,.714,9,10,.900,2,10,12,4,0,3,2,2,40,40.1,+31,.980,.969,8.3,29.6,20.8,20.6,0.0,6.9,8.9,27.7,176,97,Kevin Durant
43,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-20&is_playoff_game=N,2017-01-20,GSW,@,HOU,W (+17),1,33:44,12,19,.632,2,7,.286,6,7,.857,0,4,4,7,2,2,1,2,32,30.8,+25,.725,.684,0.0,12.4,6.9,33.3,2.8,4.7,4.3,29.3,150,104,Kevin Durant
44,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-22&is_playoff_game=N,2017-01-22,GSW,@,ORL,W (+20),1,29:04,5,12,.417,1,3,.333,4,5,.800,1,9,10,6,3,2,1,1,15,18.8,+35,.528,.458,3.9,29.1,17.8,29.4,5.0,4.9,6.6,21.8,129,84,Kevin Durant
45,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-23&is_playoff_game=N,2017-01-23,GSW,@,MIA,L (-3),1,36:26,12,23,.522,1,8,.125,2,2,1.000,0,6,6,3,1,0,2,2,27,17.8,-9,.565,.543,0.0,16.8,9.0,15.7,1.3,0.0,7.7,30.8,104,108,Kevin Durant
46,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-25&is_playoff_game=N,2017-01-25,GSW,@,CHO,W (+10),1,36:38,11,20,.550,1,4,.250,10,10,1.000,0,5,5,1,0,4,6,3,33,21.2,-1,.676,.575,0.0,13.6,7.8,5.3,0.0,7.6,19.7,37.6,107,105,Kevin Durant
47,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-28&is_playoff_game=N,2017-01-28,GSW,,LAC,W (+46),1,28:41,9,11,.818,3,4,.750,2,2,1.000,1,3,4,7,1,1,0,1,23,26.7,+32,.968,.955,5.1,10.7,8.4,27.9,1.7,3.1,0.0,18.1,203,102,Kevin Durant
48,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-01-29&is_playoff_game=N,2017-01-29,GSW,@,POR,W (+2),1,36:01,13,26,.500,1,7,.143,6,6,1.000,2,8,10,6,0,1,7,2,33,20.9,-3,.576,.519,6.5,26.7,16.5,42.8,0.0,2.0,19.6,41.6,98,110,Kevin Durant
49,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-01&is_playoff_game=N,2017-02-01,GSW,,CHO,W (+15),1,32:39,7,17,.412,1,7,.143,3,3,1.000,2,6,8,8,1,0,1,0,18,17.7,+27,.491,.441,6.1,20.0,12.8,32.0,1.4,0.0,5.2,25.3,120,114,Kevin Durant
50,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-02&is_playoff_game=N,2017-02-02,GSW,@,LAC,W (+13),1,37:12,8,18,.444,2,7,.286,8,8,1.000,0,8,8,10,1,0,0,3,26,25.8,+13,.604,.500,0.0,25.8,12.4,31.0,1.3,0.0,0.0,23.5,152,120,Kevin Durant
51,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-04&is_playoff_game=N,2017-02-04,GSW,@,SAC,L (-3),1,42:20,2,10,.200,0,6,.000,6,7,.857,0,9,9,2,1,5,3,0,10,9.0,+6,.382,.200,0.0,27.5,12.0,7.5,1.2,9.6,18.7,17.6,71,99,Kevin Durant
52,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-08&is_playoff_game=N,2017-02-08,GSW,,CHI,W (+31),1,30:41,9,16,.563,1,2,.500,3,3,1.000,0,10,10,7,3,1,3,1,22,22.6,+20,.635,.594,0.0,28.4,17.6,32.3,4.8,2.3,14.8,30.9,118,82,Kevin Durant
53,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-10&is_playoff_game=N,2017-02-10,GSW,@,MEM,W (+15),1,32:20,5,14,.357,3,6,.500,11,14,.786,0,5,5,4,1,2,3,2,24,17.9,+2,.595,.464,0.0,15.8,9.2,18.8,1.5,4.9,13.0,32.5,112,111,Kevin Durant
54,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-11&is_playoff_game=N,2017-02-11,GSW,@,OKC,W (+16),1,32:44,12,21,.571,3,6,.500,7,7,1.000,1,8,9,3,0,0,3,5,34,24.3,+12,.706,.643,3.6,27.9,15.9,15.5,0.0,0.0,11.1,35.0,130,112,Kevin Durant
55,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-13&is_playoff_game=N,2017-02-13,GSW,@,DEN,L (-22),1,26:41,10,16,.625,2,5,.400,3,3,1.000,1,3,4,5,1,1,3,1,25,21.2,-23,.722,.688,4.3,14.6,9.1,33.3,1.8,3.8,14.8,34.3,125,132,Kevin Durant
56,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2017-02-15&is_playoff_game=N,2017-02-15,GSW,,SAC,W (+23),1,32:09,10,15,.667,1,4,.250,0,0,,0,7,7,7,1,4,1,1,21,23.9,+29,.700,.700,0.0,20.1,10.9,40.1,1.5,9.2,6.3,23.6,135,83,Kevin Durant
